Track,Artist,Album_Name,Release_Date,Spotify_Streams,Spotify_Popularity,YouTube_Views,TikTok_Likes,Shazam_Counts
Bande organisï¿½,13 Organisï¿,Bande organisï¿½,2020-08-15,"267,241,905",63.0,"515,808,378","641,873","2,065,953"
Only Human,Jonas Brothers,Happiness Begins,2019-06-07,"508,463,163",65.0,"136,979,542","6,682,986","7,575,291"
Daddy Issues,The Neighbourhood,Wiped Out!,2015-10-30,"1,435,372,572",80.0,"450,121,249","196,480,803","3,422,693"
Cha Cha Cha,Kï¿½ï¿½ï¿½,Cha Cha Cha,2023-01-17,"143,311,775",66.0,"85,239,745","18,889,271","281,032"
Raining In Manila,Lola Amour,Raining In Manila,2023-06-14,"136,169,854",63.0,"117,339,013","57,862,276","28,884"
Diabï¿½ï¿½,Cris Mj,Diabï¿½ï¿½,2023-11-08,"83,966,111",73.0,"51,878,795","2,323","313,530"
HE KNOWS (feat. Lil Nas X),Camila Cabello,HE KNOWS (feat. Lil Nas X),2024-05-10,"14,234,598",0.0,"6,333,352",Unknown,"35,203"
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,Feels,2017-06-16,"1,120,187,276",70.0,"80,920,611","369,847,461","13,710,879"
Everybody make some Tik Tok,Bounce Oï¿½ï¿½ï¿,Everybody make some some Tik Tok,2019-05-22,"532,262",13.0,Unknown,"108,201,976","11,057"
Another Love (Tiï¿½ï¿½sto Re,Tom Odell,Another Love (Tiï¿½ï¿½sto Re,2022-05-13,"141,141,890",67.0,"26,048,435","900,971,288","770,960"
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,His & Hers,2021-05-13,"224,820,131",0.0,"49,154,791","151,684,690","993,226"
Tu Aake Dekhle,King,The Carnival,2020-09-21,"410,639,967",69.0,"619,113,386","4,491,970","475,672"
Red Leather,Future,WE STILL DON'T TRUST YOU,2024-04-12,"22,715,763",0.0,"3,791,463",Unknown,"155,058"
Viva La Vida,Coldplay,Meu Pai ï¿½ï¿½ do ,2005-09-21,"2,102,223,775",80.0,"1,412,127,488","244,469,571","54,637"
Nice to Meet You,Imagine Dragons,Nice to Meet You,2024-05-24,"15,062,636",75.0,"4,507,011","570,876","27,497"
Verte Ir,DJ Luian,Verte Ir,2019-03-28,"550,967,367",64.0,"728,468,384","1,930,550","1,353,531"
Pink + White,Frank Ocean,Blonde,2016-08-20,"1,299,650,856",83.0,"158,016,588","68,303,456","2,187,716"
Mother,Meghan Trainor,Takin' It Back (Deluxe),2023-03-04,"79,738,242",57.0,"51,124,809","224,708,419","538,792"
Flashback (feat. Gazo),Favï¿,Flashback,2023-09-15,"88,014,813",66.0,"53,097,639","3,276,455","541,305"
Space Song,Beach House,Depression Cherry,2015-08-21,"1,099,069,598",73.0,"127,534,602","338,753,643","7,887,047"
OKAY,JT,OKAY (Versions),2024-04-24,"16,446,111",65.0,"5,578,963",Unknown,"178,540"
Rude,MAGIC!,Rude,2013-07-23,Unknown,0.0,"2,541,095,833",Unknown,Unknown
Chill Bill,Rob $tone,The RCA-List (Vol. 2),2016-01-01,"843,861,768",70.0,"278,120,145","2,669,418","4,409,923"
My Way,Calvin Harris,My Way,2016-09-16,"1,014,534,913",73.0,"615,907,345","10,268,320","8,339,785"
Big City Life,Luude,Big City Life,2022-06-16,"181,323,700",65.0,"17,510,125","12,550,708","780,420"
Luchï¿½ï¿½ La,BoomBoxRepairKit,Luchï¿½ï¿½ La Ley - Si,2022-05-20,Unknown,0.0,"511,029,390",Unknown,10
Wife,(G)I-DLE,Wife,2024-01-21,"58,909,647",0.0,"65,760,732",Unknown,"82,069"
'Till I Collapse,Eminem,The Eminem Show,2002-05-26,"1,958,809,069",79.0,"1,463,549,979","6,151,095","4,812,702"
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),2010-09-06,"662,257,934",71.0,"464,462,597","215,370,319","4,225,673"
Jumbotron Shit Poppin,Drake,Her Loss,2022-11-04,"126,296,463",62.0,"37,702,345","8,679,451","588,261"
La Nota,Manuel Turizo,La Nota,2020-10-08,"560,949,285",64.0,"298,415,218","58,834,137","1,440,068"
Amor a Primera Vista,Los ï¿½ï¿½ngeles Az,Amor a Primera Vista,2019-06-14,"346,860,422",65.0,"888,138,257","4,833,780","1,446,419"
Solo,Myles Smith,Solo,2023-11-15,"95,747,052",0.0,"13,990,236","604,177","313,239"
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,UNFORGIVEN,2023-05-01,"223,652,808",70.0,"129,099,788","75,312,218","324,686"
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Bonnadol,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,2023-03-15,"478,756",21.0,"5,028,021","13,777,952","4,666"
Elini Ver,Amo988,Elini Ver,2024-05-15,"15,352,061",72.0,"11,854,252",Unknown,"130,733"
Sex Music,Tank,Sex Music,2010-06-29,"5,283,089",30.0,"7,187,358","21,957","90,172"
Porfa,Feid,Porfa,2019-12-13,"396,184,710",65.0,"656,159,660","216,831","1,168,477"
P power (feat. Drake),Gunna,DRIP SEASON 4EVER,2022-01-07,"307,122,295",69.0,"31,666,337","49,947,875","1,132,723"
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,Speak Now (Taylor's Version),2023-07-07,"247,056,218",69.0,"41,065,721","34,732,272","459,379"
Derniï¿½ï¿½re d,Indila,Derniï¿½ï¿½re D,2013-11-13,"410,783,411",72.0,"1,717,040,143","152,093,157","10,550,609"
Prada (Valexus Remix),cassï¿,Prada (feat. Valexus) [Valexus Remix],2023-09-08,"47,098,121",0.0,Unknown,Unknown,"185,116"
"A ver, a ver - Ric Piccolo Edit",Donald,"A ver, a ver (Ric Piccolo Edit)",2022-08-24,"67,852",10.0,"421,207,701",Unknown,Unknown
Fight Song,Rachel Platten,Fight Song,2014-12-02,"897,794,289",69.0,"101,998,780","115,034,762",Unknown
Satu Rasa Cinta,Happy Asmara,Satu Rasa Cinta - Single,2022-12-03,"3,451,208",37.0,"10,165,956","11,483,292",Unknown
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),2019-07-11,"765,374,782",67.0,"419,150,011","6,020,979","4,294,116"
Losing It,FISHER,Losing It,2018-07-13,"523,954,769",67.0,"96,992,359","32,897,654","8,854,107"
MATHEMATICAL DISRESPECT,Lil Mabu,MATHEMATICAL DISRESPECT,2023-05-05,"165,642,949",62.0,"13,111,498","91,978,574","328,655"
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,Hoodie SZN,2018-12-21,"815,243,082",66.0,"258,514,568","87,072,918","1,328,950"
Dick (feat. Doja Cat),StarBoi3,Dick (feat. Doja Cat),2021-04-23,"247,462,687",61.0,"76,319,678","270,293,066","3,937,642"
Perfect Strangers,Jonas Blue,Perfect Strangers,2016-06-03,"1,050,246,077",69.0,"917,728,451","8,116,828","9,355,617"
Hey Brother,Avicii,TRUE,2013-01-01,"1,007,623,089",72.0,"936,816,983","16,452,743","10,854,307"
Otra Noche,Los ï¿½ï¿½ngeles Az,Otra Noche - Single,2021-11-11,"238,849,559",64.0,"401,770,615","1,185,903","885,927"
Yet To Come,BTS,Proof,2022-06-10,"344,744,597",64.0,"264,915,434","122,010,208","625,565"
When I'm Gone,Alesso,When Iï¿½ï¿½ï¿½m Gone (with Katy ,2021-12-29,"279,996,207",64.0,"42,705,657","977,042","1,785,826"
Girlfriend,Ruger,The Second Wave (Deluxe),2022-06-17,"56,670,689",16.0,"126,849,797","19,812,568","2,142,023"
WATATI (feat. Aldo Ranks) [From Barbie The Album],KAROL G,WATATI (feat. Aldo Ranks) [From Barbie The Album],2023-06-01,"100,094,720",62.0,"114,762,460","34,507,211",Unknown
911,Fuerza Regida,911,2022-11-30,"181,695,722",68.0,"188,904,937","104,665,493","567,312"
Always,Daniel Caesar,NEVER ENOUGH,2023-04-07,"281,707,091",74.0,"23,447,030","29,519,019","494,628"
YKWIM?,Yot Club,Bipolar,2019-05-31,"675,984,633",75.0,"118,564,792","168,264,666","1,248,383"
Damage,H.E.R.,Damage,2020-10-21,"108,241,832",53.0,"206,773,555","11,238,095","1,838,870"
Rags2Riches 2 (feat. Lil Baby),Rod Wave,Pray 4 Love (Deluxe),2020-08-07,"227,802,182",61.0,"69,718,488","105,311,337","534,826"
Bellyache,Billie Eilish,Bellyache,2017-02-24,"965,899,534",73.0,"834,705,559","42,091,450","3,988,502"
No Wahala,1da Banton,No Wahala,2021-07-02,"154,010,050",63.0,"234,249,323","60,004,357","2,109,482"
Wait a Minute!,WILLOW,ARDIPITHECUS,2015-01-11,"1,081,039,358",73.0,"422,709,495","275,664,623","7,344,889"
HONEY BEES,Hachi,HONEY BEES - Single,2023-02-06,"423,395",29.0,"316,523,235","2,392,537",314
Gypsy,G.D. Kaur,Gypsy,2022-05-10,"58,989,412",3.0,"457,435,947","34,450","116,513"
Ojos Marrones,Lasso,Ojos Marrones,2022-06-03,"370,988,405",68.0,"69,184,223","142,179,351","1,087,892"
WASTE,Kxllswxtch,DISORDER,2021-10-29,"272,051,636",72.0,"39,751,949","180,786,694","1,447,289"
512,Mora,Primer Dia de Clases,2021-02-05,"475,820,416",70.0,"270,122,797","53,172,890","698,305"
MTG MALDIï¿½ï¿½ï¿½ï¿½O ET,DJ GLK,MTG MALDIï¿½ï¿½ï¿½ï¿½O ET,2022-08-05,Unknown,0.0,Unknown,"97,960,938",Unknown
Little Things x Gypsy Woman - L BEATS MASHUP,Jorja Smith,Little Things x Gypsy Woman (L BEATS MASHUP),2023-06-30,"123,627,077",71.0,Unknown,"1,046,261","420,572"
Wake Up (feat. Chris Brown),Skylar Blatt,Wake Up (feat. Chris Brown),2024-04-26,"8,040,021",0.0,"4,152,404",Unknown,"160,973"
Sï¿½ï¿½guelo Bail,Ozuna,Odisea,2017-08-25,"544,755,640",66.0,"1,070,075,376","24,277,629","2,212,531"
Arranca (feat. Omega),Becky G,Arranca (feat. Omega),2023-03-10,"161,172,707",66.0,"52,352,229","7,184,433","1,364,052"
The Family Madrigal,Stephanie Beatriz,Encanto (Original Motion Picture Soundtrack),2021-11-19,"217,919,853",63.0,"351,386,257","135,800,782","143,875"
Hasta Abajo,KEVIN ROLDAN,Hasta Abajo,2019-07-26,"380,367,132",64.0,"663,705,750","65,038,406","1,389,750"
Flawlï¿½ï¿½ss (feat. Lil Uzi V,Yeat,Lyfï¿,2022-09-09,"233,573,513",69.0,"39,331,190","20,275,957","647,093"
Praise Jah in the Moonlight,Uzii BigTalk,Praise Jah in the Moonlight - Single,2023-12-25,Unknown,0.0,Unknown,"7,381,338","3,863,739"
Bon appï¿½ï¿,Katy Perry,Bon Appï¿½ï¿,2017-04-28,"280,898,252",60.0,"1,396,756,746","11,896,504","2,560,144"
I'm the One,DJ Khaled,EPIC AF,2017-01-01,"1,257,029,279",67.0,"77,475,141","16,501,624",Unknown
Stay With Me,1nonly,Candy Baby,2020-07-30,"398,942,581",68.0,"231,553,878","111,636,857","1,102,075"
Typa Girl,BLACKPINK,BORN PINK,2022-09-16,"357,054,107",66.0,"199,710,937","94,313,386","359,205"
Ayy Macarena,Tyga,Ayy Macarena,2019-11-13,"417,311,779",61.0,"325,105,642","94,185,459","3,773,690"
ELA PIROU NA DODGE RAM,Luan Pereira,ELA PIROU NA DODGE RAM - Single,2023-03-17,"149,455,007",17.0,"185,077,693","22,395,889","53,011"
Like What (Freestyle),Cardi B,Like What (Freestyle),2024-03-01,"23,475,715",0.0,"21,710,598","3,270,800","164,762"
Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives (International Version),2009-01-01,"1,587,114,096",76.0,"993,529,828","49,702,880","3,960,920"
Wet Dreamz,J. Cole,2014 Forest Hills Drive,2014-12-09,"1,244,864,869",76.0,"280,151,086","7,247,082","2,769,408"
Dhani Ho Sab Dhan,Pawan Singh,Dhani Ho Sab Dhan,2023-01-31,"1,332,230",0.0,"307,838,128","162,043","7,289"
Next Level,aespa,Next Level,2021-05-17,"245,384,123",68.0,"514,192,282","98,935,007","547,626"
Whiskey Glasses,Morgan Wallen,The Way I Talk,2016-07-29,"806,728,296",75.0,"429,423,484","7,719,684","2,204,392"
Bado Badi,Chahat Fateh Ali Khan,Bado Badi,2024-04-23,"901,007",0.0,"31,008,582",Unknown,Unknown
Esta Vida,Marshmello,Esta Vida - Single,2023-04-13,"94,359,848",61.0,"66,093,104","645,712","1,195,281"
Dusk Till Dawn - Radio Edit,ZAYN,Dusk Till Dawn (Radio Edit),2017-09-07,"1,687,683,940",75.0,"2,784,613",Unknown,"20,400,952"
Shotta Flow [Remix],NLE Choppa,Shotta Flow (feat. Blueface) [Remix],2019-06-20,"496,344,788",21.0,"476,656,319","3,903,832","611,475"
Bolide allemand,SDM,Liens du 100,2022-12-01,"152,546,936",68.0,"129,655,800","4,800,473","1,390,093"
Amor Tumbado,Natanael Cano,Mi Nuevo Yo,2019-12-24,"413,743,535",73.0,"420,669,522","22,305,613","750,571"
New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),2022-08-31,"155,399,041",60.0,"32,481,842","11,544,855","562,309"
MANIAC,VIVIZ,The 4th Mini Album 'VERSUS',2023-11-02,"77,590,300",0.0,"94,172,195","22,942,690","168,452"
Don't Mind,Kent Jones,EPIC AF,2016-01-01,"416,147,244",59.0,"179,143,462","38,201,187","7,577,629"
Dientes,J Balvin,Dientes,2023-09-15,"38,622,215",4.0,"16,445,144","2,705,205","1,517,721"
Look Alive (feat. Drake),BlocBoy JB,Look Alive (feat. Drake),2018-02-09,"982,424,606",63.0,"123,104,265","13,785,747","2,879,816"
Wake Up! (feat. Juice WRLD),Ski Mask The Slump God,11th Dimension,2024-06-07,"2,886,460",0.0,"329,080",Unknown,Unknown
Midnight Rain,Taylor Swift,Midnights,2022-10-21,"658,208,129",72.0,"83,795,730","36,893,385","334,608"
"Lagdi Lahore Di (From ""Street Dancer 3D"")",Guru Randhawa,"Lagdi Lahore Di (From ""Street Dancer 3D"")",2020-01-15,"112,851,903",61.0,"540,940,484","17,299,421","125,294"
Boo'd Up,Ella Mai,Ella Mai,2018-10-12,"79,783,827",53.0,"606,083,529",Unknown,"4,230,367"
A Mï¿,Rels B,A Mï¿,2019-02-21,"631,152,992",76.0,"655,475,553","53,883,893","1,136,830"
Buttabomma - Telugu,Armaan Malik,"Buttabomma (From ""Ala Vaikunthapurramuloo"") - Single",2019-12-24,"92,120,986",56.0,"981,723,299","16,396,111","156,960"
Burn It Down,Parker McCollum,Never Enough,2023-05-12,"42,332,727",65.0,"23,741,737","835,693","307,193"
Tu Fan,mafalda cardenal,tu fan,2023-05-26,"65,670,361",66.0,"96,035,934","55,379,246","467,250"
Whole Lotta Choppas,Sada Baby,Whole Lotta Choppas,2020-08-14,"55,312,275",45.0,"39,808,873","297,105,838","732,768"
Heartless,Kanye West,808s & Heartbreak (Exclusive Edition),2008-01-01,"1,315,577,954",79.0,"366,241,783","32,605,436","3,795,507"
Galaxy Express,D Gerrard,Galaxy Express - Single,2024-01-05,"20,710,234",61.0,"89,001,571",Unknown,"58,364"
Skate,Bruno Mars,Skate,2021-07-30,"248,947,222",63.0,"129,102,965","372,385","1,701,042"
Mercy,Shawn Mendes,Mercy,2016-08-18,"1,351,515,181",74.0,"602,907,962","27,390,411","5,017,015"
Dame Tu Cosita (feat. Cutty Ranks),El Chombo,Dame Tu Cosita,2018-04-15,"47,325,533",54.0,"585,319,992","484,259,534","580,948"
Enemy - from the series Arcane League of Legends,Imagine Dragons,Enemy (from the series Arcane League of Legends),2021-10-27,"313,209,345",65.0,Unknown,"17,669,829","9,602,713"
Dear John,Wild Child,End of the World,2023-03-31,"271,785",21.0,"281,209,604",Unknown,Unknown
Mount Everest,Labrinth,Mount Everest,2019-06-21,"612,159,812",72.0,"218,832,200","458,425,066","4,948,372"
Escï¿½ï¿½n,ýýengo Flow,Escï¿½ï¿½n,2023-08-25,"63,748,913",60.0,"109,386,782","438,906","202,893"
LAISSE MOI,KeBlack,LAISSE MOI,2023-09-08,"76,805,130",0.0,"62,061,765","21,137,395","972,269"
This Is The Life,LIZOT,This Is The Life,2023-10-13,"72,773,866",71.0,"5,868,964",Unknown,"209,235"
Baianï¿,Bakermat,Baianï¿,2019-07-26,"402,771,910",73.0,"131,360,082","71,432,760","3,135,726"
Homicide (feat. Eminem),Logic,Homicide,2019-05-03,"526,019,789",64.0,"272,873,622","2,207,422","850,346"
More Than My Hometown,Morgan Wallen,More Than My Hometown,2020-04-17,"503,296,417",74.0,"198,319,407","12,089,070","986,413"
Work Out,J. Cole,Work Out,2011-07-04,"955,547,971",76.0,"310,902,280","15,376,388","5,104,518"
Soltera,Lunay,ýýpico,2019-10-25,"170,646,969",47.0,"990,507,015",Unknown,Unknown
Fall In Love Alone,Stacey Ryan,Fall In Love Alone,2022-05-13,"250,626,750",66.0,"42,387,613","158,358,329","438,027"
Huntinï¿½ï¿½ï¿½ W,J. Cole,Might Delete Later,2024-04-05,"36,972,292",0.0,"7,753,794",Unknown,"66,418"
Plain Jane,A$AP Ferg,Plain Jane,2017-08-04,"733,772,721",65.0,"251,008,598","86,025,556","7,570,376"
ORANGE SODA,Baby Keem,ORANGE SODA,2019-07-16,"676,690,653",73.0,"69,181,584","26,055,931","1,211,769"
Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,Clap For 'Em (feat. Flo Milli & Sada Baby),2021-03-20,"21,634,137",40.0,"1,198,045","200,277,564","282,245"
Righteous,Juice WRLD,Righteous,2020-04-24,"553,627,198",64.0,"293,505,196","5,994,142","672,702"
Tï¿½ï¿½ ,Ozuna,Odisea,2017-08-25,"500,508,660",68.0,"978,838,486","14,707,010","1,325,578"
Casei Com a Putaria,Mc Paiva ZS,Casei Com a Putaria,2022-07-01,"255,564,797",63.0,"264,486,017","23,505,507",Unknown
9mm,Memphis Cult,Memphis Cult Vol. 6,2023-02-23,"157,826,873",4.0,"33,874,675","43,560","1,530,751"
SOLO - Live,BLACKPINK,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),2019-08-30,"6,197,708",26.0,"1,100,441,738","63,986","5,791"
Envy Me,Calboy,Envy Me,2018-09-13,"492,873,992",58.0,"319,720,084","132,042,330","2,325,132"
DEJA VU,Luan Santana,DEJA VU,2023-12-07,"117,285,775",0.0,"74,303,022",Unknown,"79,791"
Gï¿½ï¿½r,Fatih Bulut,Gï¿½ï¿½r Bak - Si,2024-03-08,"11,315,262",0.0,"53,172,804",Unknown,"94,321"
vendetta!,MUPP,vendetta!,2022-05-20,"317,919,778",68.0,"51,618,223","6,821,906","825,474"
Tï¿½ï¿½ OK (Re,DENNIS,Tï¿½ï¿½ OK (Remix) (feat. MC Kevin o Ch,2023-08-03,"112,629,182",68.0,"45,525,215","37,624,994","488,961"
I'll Be Waiting,Cian Ducrot,I'll Be Waiting,2022-11-10,"185,042,019",62.0,"35,977,202","7,073,614","958,912"
Admirin' You (feat. Preston Pablo),Karan Aujla,Admirin' You (feat. Preston Pablo),2023-08-01,"97,989,585",63.0,"102,363,097",Unknown,"157,502"
Untitled #13,Glwzbll,Untitled #13,2023-04-04,"32,244,050",58.0,"103,148,536","144,496,419","416,085"
El Belicï¿½,Peso Pluma,El Belicï¿½,2022-02-04,"254,275,891",64.0,"326,775,934","15,883,571","488,932"
imgonnagetyouback,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,"88,244,010",0.0,"7,381,186","1,925,300","32,559"
Roses (with Juice WRLD feat. Brendon Urie),benny blanco,Roses (with Juice WRLD feat. Brendon Urie),2018-12-05,"475,881,575",57.0,"40,942,190","3,941,871","710,406"
BANZAI!,Kazuo,BANZAI!,2022-12-24,"118,164",10.0,"341,971,709","2,599",Unknown
One Thing Right,Marshmello,One Thing Right (feat. Kane Brown),2019-06-21,"545,011,148",65.0,"312,775,703","17,058,045","3,044,970"
Wildest Dreams,Taylor Swift,1989 (Deluxe),2014-01-01,"964,058,806",70.0,"930,982,185","137,427,132","5,306,715"
Calling For You (feat. 21 Savage),Drake,For All The Dogs,2023-10-06,"74,265,576",0.0,Unknown,Unknown,"163,845"
What About Us,P!nk,What About Us,2017-08-10,"788,403,596",70.0,"508,358,793","22,964,606","8,147,466"
On The Floor,Jennifer Lopez,VTM Kzoom Hits Best Of 2011,2011-01-01,"456,241,170",69.0,"2,333,347,395","171,375,947","243,509"
Mentalitï¿,Baby Gang,EP2,2022-06-17,"120,605,300",66.0,"116,373,773","18,244,859","1,812,780"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,"1,569,891,590",66.0,"384,590,913","46,194,014",Unknown
Captain Hook,Megan Thee Stallion,Suga,2020-03-06,"199,063,354",59.0,"140,058,306","128,729,922","692,819"
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Djpaoremix,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,2023-02-03,"134,274",0.0,"6,873,380","20,188,963","3,926"
I'll Be There,Robin Schulz,I'll Be There,2023-10-13,"21,067,560",0.0,"8,446,909","253,568","633,019"
Heavy stunts (with Don Toliver),Yeat,King tonka,2024-05-03,"11,680,886",0.0,Unknown,Unknown,"28,986"
Time Today,Moneybagg Yo,Time Today,2021-02-03,"191,071,471",65.0,"109,977,159","8,245,826","1,381,684"
Hold Me While You Wait,Lewis Capaldi,Hold Me While You Wait,2019-05-03,"793,528,511",70.0,"318,332,999","22,545,934","3,493,866"
messy in heaven,venbee,messy in heaven,2022-09-23,"120,785,398",59.0,"25,495,861","3,729,330","742,291"
Maquillaje,Renn,Maquillaje - Single,2024-01-10,"71,320,813",76.0,"42,538,475","760,808","428,764"
Shiver,John Summit,Shiver,2024-02-14,"30,048,265",0.0,"5,098,200",Unknown,"268,143"
Novidade na ï¿½ï¿,Mc Livinho,Novidade na ï¿½ï¿,2023-06-23,"191,234,818",64.0,"67,753,459",Unknown,"242,735"
Coming for You (feat. A1 x J1),SwitchOTR,Coming for You (feat. A1 x J1),2021-10-29,"169,896,142",56.0,"75,289,061","130,156,421","1,055,110"
Toxic Pony,ALTï¿½ï,Toxic Pony (feat. Britney Spears & Ginuwine),2022-01-21,"103,232,015",60.0,"9,695,261","271,083,554","575,418"
Grey,Yung Filly,Grey - Single,2024-01-26,"48,858,795",0.0,"14,953,162","679,900","215,596"
Aquï¿½ï¿½ A,Christian Nodal,Aquï¿½ï¿½ A,2020-07-10,"423,313,161",66.0,"597,262,135","2,257,511","902,218"
Whistle,Flo Rida,Pioneer The Album (Vol.13),2010-09-27,"814,272,136",72.0,"731,556,941","30,075,991","9,104,370"
Ceux qu'on ï¿½ï¿½,Pierre Garnier,Ceux qu'on ï¿½ï¿½tait - Si,2024-02-07,"50,498,801",70.0,"27,905,696",Unknown,"442,987"
Apaga El Cel,Calle 24,Apaga El Cel,2023-12-22,"145,975,016",82.0,"54,043,783",Unknown,"326,991"
ýýýýýýýýýýýýýýýýýý - ýýýý ýýýýýýýý ýýýýýýýý ýýýýýý,Ahmed Saad,ýýýýýýýýýýýýýýýýýý (ýýýý ýýýýýýýý ýýýýýýýý ýýýýýý),2023-06-20,"20,588,020",58.0,"179,178,650","9,283,133","161,826"
Leave Me Alone,Flipp Dinero,Leave Me Alone,2018-03-14,"651,863,663",62.0,"364,860,562","50,621,671","3,263,766"
LATTE (feat. Maria Becerra),The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,2024-03-28,"25,813,787",68.0,"27,340,680",Unknown,"59,027"
Rolling in the Deep - Acapella,Adele,Rolling In The Deep,2011-01-16,"11,170,019",36.0,"2,522,903,197",Unknown,Unknown
In My Head,Lil Tjay,In My Head,2022-04-01,"237,061,046",63.0,"47,378,172","356,522","665,891"
Plan A,Paulo Londra,Plan A,2022-03-23,"275,416,061",58.0,"237,452,601","38,034,415","243,094"
GoodSin,Olivetheboy,Avana - EP,2023-04-21,"9,513,971",0.0,"17,460,383","17,984,432",Unknown
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,The Heist,2012-10-09,"1,226,381,432",46.0,"1,905,103,664",Unknown,"26,117,729"
River,Bishop Briggs,River,2016-01-22,"547,304,707",68.0,"566,895,107","432,649,655","4,876,569"
Dil Diyan Gallan,Atif Aslam,Tiger Zinda Hai (Original),2017-12-12,"204,127,666",65.0,"1,326,806,818","3,586,828","565,775"
Little Bit of Love,Tom Grennan,Little Bit of Love,2021-01-08,"389,164,529",62.0,"96,711,789","9,869,894","3,654,247"
I Knew You Were Trouble.,Taylor Swift,I Knew You Were Trouble.,2012-01-01,"839,642,356",72.0,"545,463,966","5,417,399","9,583,929"
Fresh Out The Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,"105,424,914",0.0,"7,227,379","348,700","21,372"
The Real Slim Shady,Eminem,The Source Hip-Hop Hits Vol. 4,2000-01-01,"1,798,020,679",81.0,"961,666,231","86,740,640","6,637,985"
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,sped up nightcore,Left and Right (Charlie Puth) [feat. Jung Kook of BTS] [Sped Up Version],2022-07-18,"3,492,767",27.0,"412,119,147","1,891,966",Unknown
Save Me,Jelly Roll,Save Me,2020-06-25,"143,528,699",65.0,"395,691,039","13,408,126","795,577"
ýýýýýý,SPRITE,ýýýýýý,2021-04-29,"9,126,545",41.0,"440,738,171","96,385,707","117,936"
Best For Me,Joyner Lucas,Best For Me,2024-03-18,"18,852,560",0.0,"18,904,500","120,700","208,479"
Ni Me Debes Ni Te Debo,Carin Leon,Colmillo De Leche,2023-05-19,"168,963,270",52.0,"138,646,834","6,759,488","327,415"
Ya No Vuelvas,Luck Ra,Ya No Vuelvas,2022-08-09,"28,739,240",51.0,"378,611,518","2,316,894",Unknown
Scared To Be Lonely,Martin Garrix,Dua Lipa (Complete Edition),2015-01-01,"1,254,883,107",73.0,"995,579,933","12,363,862","6,308,966"
Un Aï¿½,Sebastian Yatra,Un Aï¿½,2019-01-18,"573,290,850",67.0,"830,580,317","17,545,978",Unknown
21,Polo G,THE GOAT,2020-05-15,"500,766,243",67.0,"161,831,915","5,844,781","436,240"
I Gotta Feeling,Black Eyed Peas,The E.N.D. (The Energy Never Dies),2009-01-01,"1,423,655,688",76.0,"190,741,649","96,154,828","11,916,814"
NOSTYLIST,Destroy Lonely,NO STYLIST,2022-08-12,"100,973,437",63.0,"14,289,584","72,100,628","443,594"
Respect (2021 Remaster),Aretha Franklin,The Genius of Aretha Franklin,2021-02-19,"607,726,217",20.0,Unknown,Unknown,Unknown
SO DONE,The Kid LAROI,SO DONE,2020-10-23,"428,787,524",62.0,"63,666,862","15,383,747","636,078"
The Boat Beat,Ricky Desktop,The Boat Beat,2020-05-12,"13,847,072",33.0,"8,068,836","241,086,839","142,921"
No Es Justo,J Balvin,No Es Justo,2018-05-11,"580,941,059",64.0,"965,441,155","1,960,151","1,613,752"
New Jeans,NewJeans,NewJeans 'Super Shy',2023-07-07,"253,890,110",73.0,"32,342,210","33,300,089","221,882"
Cat Partying (TikTok Sped Up) - Remix,Music Factory,Cat Partying (TikTok Sped Up) [Remix],2023-03-20,"2,368,578",0.0,Unknown,"12,239,089",Unknown
