Track,Artist,Album_Name,Release_Date,Spotify_Streams,Spotify_Popularity,YouTube_Views,TikTok_Likes,Shazam_Counts
Old Town Road,Lil Nas X,Old Town Road,2019-03-14,"1,010,494,713",67.0,"3,203,314,695","187,301,054","8,856,633"
un x100to,Grupo Frontera,un x100to,2023-04-17,"1,008,495,696",75.0,"878,892,413","127,651,887","2,283,747"
Laxed ï¿½ï¿½ï¿½ Sire,Jawsh 685,Laxed (Siren Beat),2020-04-24,Unknown,0.0,"12,489,728","919,945,708",Unknown
Sprinter,Dave,Sprinter - Single,2023-06-01,"692,512,930",78.0,"219,666,692","130,560,533","3,093,667"
CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,"169,410,711",90.0,"19,402,457",Unknown,"388,625"
TQG,KAROL G,TQG,2023-02-23,"1,024,381,758",78.0,"1,102,289,596","15,048,444","3,488,226"
Perfect,Ed Sheeran,ýý (Deluxe),2017-03-03,"2,969,999,682",81.0,"6,473,698,897","601,244,764",Unknown
Pepas,Farruko,Pepas,2021-06-24,"1,500,499,584",74.0,"1,431,591,689","290,811,371","17,210,946"
Peekaboo,Dave Angel,Glide - Single,2023-01-27,"8,082",0.0,"2,055,940,513",Unknown,442
Ella Baila Sola,Eslabon Armado,Ella Baila Sola,2023-03-16,"1,215,336,974",74.0,"701,880,622","550,073","3,435,177"
Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),2023-05-25,"860,026,452",80.0,"173,044,031","90,924,917","3,199,636"
La Bebe - Remix,Yng Lvcas,La Bebe (Remix),2023-03-17,"1,032,225,805",79.0,"920,878,032","116,003,972","2,635,577"
redrum,21 Savage,american dream,2024-01-12,"428,233,003",0.0,"105,148,629","6,732,800","2,490,071"
Easy On Me,Adele,Easy On Me,2021-10-14,"1,720,918,065",73.0,"1,194,846,205","733,101,955","7,569,155"
Titï¿½ï¿½ Me Pregu,Bad Bunny,Un Verano Sin Ti,2022-05-06,"1,514,239,759",77.0,"1,366,181,141","475,656,543","5,133,847"
All My Life (feat. J. Cole),Lil Durk,All My Life (feat. J. Cole),2023-05-12,"333,202,114",68.0,"203,487,345","63,253,779","4,207,535"
Anti-Hero,Taylor Swift,Midnights,2022-10-21,"1,563,224,246",80.0,"203,259,285","376,660,493","4,703,179"
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,"1,692,951,462",78.0,"1,132,539,234","196,608,777","6,836,893"
Magnetic,ILLIT,SUPER REAL ME,2024-03-25,"255,076,355",86.0,"202,206,901","57,656,713","659,825"
Lollipop,Darell,EVERYBODY GO TO THE DISCOTEK,2023-07-28,"275,349,653",70.0,"347,506,860","321,239,621","1,245,874"
La Diabla,Xavi,La Diabla - Single,2023-12-02,"649,404,552",83.0,"433,839,212","414,833","1,380,069"
Boy's a Liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,2023-02-03,"851,085,705",70.0,"211,810,152","955,272,568","2,580,691"
Snooze,SZA,SOS,2022-12-09,"1,013,350,808",84.0,"390,677,417","97,819,766","3,129,609"
BELLAKEO,Peso Pluma,BELLAKEO,2023-12-07,"359,803,580",86.0,"369,321,334","74,164,945","1,002,835"
Agora Hills,Doja Cat,Scarlet,2023-09-22,"509,653,100",0.0,"48,045,203","88,846,508","4,295,361"
Prada,cassï¿,Prada,2023-08-11,"609,699,748",83.0,"47,611,547","96,934,486",Unknown
Montagem Rave Eterno,Dj Samir,Montagem Rave Eterno,2024-05-02,"5,157,486",0.0,"1,278,618","261,000","47,658"
Lil Boo Thang,Paul Russell,Lil Boo Thang,2023-08-18,"242,070,373",76.0,"22,907,992","312,997,953","2,219,984"
MONACO,Bad Bunny,nadie sabe lo que va a pasar maï¿½ï¿,2023-10-13,"478,150,858",78.0,"113,379,734","182,319,546","2,255,465"
Laxed (Siren Beat),Jawsh 685,Laxed (Siren Beat),2020-04-24,"61,382,407",43.0,"9,977,490","9,239,474","3,819,161"
(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana [Edit],2023-06-15,"460,156,070",77.0,"8,183,226","65,920,648","9,279,625"
Training Season,Dua Lipa,Training Season,2024-02-15,"251,153,869",76.0,"66,691,067","34,572,688","2,047,771"
Type Shit,Future,WE DON'T TRUST YOU,2024-03-22,"205,206,688",84.0,"39,453,253",Unknown,"900,933"
Armageddon,aespa,Armageddon - The 1st Album,2024-05-27,"32,942,304",74.0,"57,861,795",Unknown,"29,736"
The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,2019-12-06,"1,911,559,785",78.0,"441,257,231","561,201,008","11,988,760"
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),2021-07-23,"2,014,959,725",70.0,"1,003,346,208","915,814,897","12,693,846"
Pedro,Jaxomy,Pedro - Single,2024-03-29,"168,145,583",85.0,"35,008,949",Unknown,"2,408,838"
Fast Car,Luke Combs,Gettin' Old,2023-03-24,"518,988,585",80.0,"107,703,759","74,258,021","3,108,167"
Bling-Bang-Bang-Born,Creepy Nuts,Bling-Bang-Bang-Born,2024-01-07,"247,399,972",80.0,"389,540,239","22,950,364","1,069,500"
Aesthetic,Tollan Kim,Aesthetic,2022-03-04,"5,712,985",44.0,"3,120,073","2,452,502,310","249,823"
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Sunflower (Spider-Man: Into the Spider-Verse),2018-10-18,"3,358,704,125",79.0,"2,763,188,773","178,829,434","1,569,935"
Hands,Dianï¿½,Hands,2022-08-01,"126,914",1.0,"2,435,813,922",188,295
Saturn,SZA,Saturn - Single,2024-02-24,"343,090,427",87.0,"38,173,339",Unknown,"745,798"
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas,3 Palavrinhas Vol.9 (Playback),2024-06-04,Unknown,0.0,"39,323,383",Unknown,Unknown
Believer,Imagine Dragons,Believer,2017-01-31,"3,006,226,762",81.0,"4,495,059,988","453,132,709","21,306,706"
WAIT FOR U (feat. Drake & Tems),Future,WAIT FOR U (feat. Drake & Tems),2022-04-27,"787,155,930",77.0,"357,772,653","95,662,104","3,534,164"
I KNOW ?,Travis Scott,UTOPIA,2023-07-28,"532,605,345",81.0,"97,958,347","108,595,670","1,861,958"
ANDO,Jere Klein,ANDO,2023-09-27,"292,789,738",72.0,"406,307,035","68,341,852","1,195,337"
First Class,Jack Harlow,First Class,2022-04-08,"818,858,244",71.0,"231,229,581","624,748,318","4,244,972"
FE!N,Travis Scott,UTOPIA,2023-07-28,"659,010,786",86.0,"125,203,447","13,787,343","1,839,283"
Save Your Tears - Live,The Weeknd,After Hours (Live At SoFi Stadium),2023-03-03,"3,913,988",40.0,"1,577,017,938",Unknown,Unknown
Losing Interest - Original Mix,Goovex,Losing Interest (Original),2024-06-10,"126,247,886",1.0,Unknown,Unknown,Unknown
I Ain't Worried,OneRepublic,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",2022-05-13,"1,607,421,145",83.0,"409,785,349","155,593,087","9,091,826"
MI EX TENï¿½ï¿½A RA,KAROL G,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,2023-08-10,"438,796,949",78.0,"509,727,241","46,080,266","865,444"
Drained of Color,Exhumed,Drained of Color,2022-08-30,"158,627",16.0,"2,156,140,830",422,208
Mood (feat. iann dior),24kGoldn,Mood (feat. Iann Dior),2020-07-24,"1,867,736,006",76.0,"747,126,783","160,756,733","10,228,436"
Dynamite,BTS,Dynamite,2020-08-21,"1,872,577,908",74.0,"2,638,957,320","662,794,945","7,896,781"
Looking Like a Wow End of Year 2023,WasteLand,Looking Like a Wow,2023-12-10,"8,327",0.0,Unknown,"3,646,489",522
Someone You Loved,Lewis Capaldi,Breach,2018-11-08,"3,427,498,835",82.0,"2,153,701,892","212,007,614","29,266,297"
Acrï¿½ï¿½s,Shakira,Acrï¿½ï¿½stico - Si,2023-05-11,"230,849,195",64.0,"363,082,908","104,580,759","623,446"
Made You Look,Meghan Trainor,Takin' It Back,2022-10-21,"720,720,922",77.0,"221,078,988","1,252,326,407","3,086,624"
